month,year_month,channel,outcome_group,is_charge,total_transactions,total_message_units,active_users,raw_transaction_amount,billable_amount,non_billable_amount,success_count,failed_count,pending_count,rna_count,opened_count,clicked_count,status_filter_key
01,2025-01,Call/IVR,Failed,0,32,32,11,0,0,0,0,32,0,0,0,0,failed
01,2025-01,Call/IVR,RNA,0,3915,3915,20,0,0,0,0,0,0,3915,0,0,rna
01,2025-01,Call/IVR,Success,1,1152,1152,20,956680,956680,0,1152,0,0,0,0,0,success
01,2025-01,Email,Failed,0,303,303,19,0,0,0,0,303,0,0,0,0,failed
01,2025-01,Email,Pending,0,3471,3471,20,0,0,0,0,0,3471,0,0,0,pending
01,2025-01,Email,Success,0,564,564,20,0,0,0,564,0,0,0,0,564,success
01,2025-01,Email,Success,1,15662,15662,20,783100,783100,0,15662,0,0,0,8794,0,success
01,2025-01,SMS,Failed,0,25,47,8,0,0,0,0,25,0,0,0,0,failed
01,2025-01,SMS,Success,1,6898,8162,20,4081000,4081000,0,6898,0,0,0,0,0,success
01,2025-01,WhatsApp,Failed,0,317,317,20,84650,0,84650,0,317,0,0,0,0,failed
01,2025-01,WhatsApp,Pending,0,2311,2311,20,500350,0,500350,0,0,2311,0,0,0,pending
01,2025-01,WhatsApp,Success,1,14884,14884,20,3610250,3610250,0,14884,0,0,0,0,0,success
02,2025-02,Call/IVR,Failed,0,17,17,9,0,0,0,0,17,0,0,0,0,failed
02,2025-02,Call/IVR,RNA,0,2992,2992,20,0,0,0,0,0,0,2992,0,0,rna
02,2025-02,Call/IVR,Success,1,815,815,20,660940,660940,0,815,0,0,0,0,0,success
02,2025-02,Email,Failed,0,161,161,19,0,0,0,0,161,0,0,0,0,failed
02,2025-02,Email,Pending,0,2095,2095,20,0,0,0,0,0,2095,0,0,0,pending
02,2025-02,Email,Success,0,323,323,20,0,0,0,323,0,0,0,0,323,success
02,2025-02,Email,Success,1,9420,9420,20,471000,471000,0,9420,0,0,0,5355,0,success
02,2025-02,SMS,Failed,0,19,37,7,0,0,0,0,19,0,0,0,0,failed
02,2025-02,SMS,Success,1,6256,7377,20,3688500,3688500,0,6256,0,0,0,0,0,success
02,2025-02,WhatsApp,Failed,0,256,256,19,69450,0,69450,0,256,0,0,0,0,failed
02,2025-02,WhatsApp,Pending,0,2164,2164,20,456050,0,456050,0,0,2164,0,0,0,pending
02,2025-02,WhatsApp,Success,1,13204,13204,20,3185000,3185000,0,13204,0,0,0,0,0,success
03,2025-03,Call/IVR,Failed,0,25,25,11,0,0,0,0,25,0,0,0,0,failed
03,2025-03,Call/IVR,RNA,0,2980,2980,20,0,0,0,0,0,0,2980,0,0,rna
03,2025-03,Call/IVR,Success,1,821,821,20,686600,686600,0,821,0,0,0,0,0,success
03,2025-03,Email,Failed,0,104,104,15,0,0,0,0,104,0,0,0,0,failed
03,2025-03,Email,Pending,0,1336,1336,20,0,0,0,0,0,1336,0,0,0,pending
03,2025-03,Email,Success,0,215,215,20,0,0,0,215,0,0,0,0,215,success
03,2025-03,Email,Success,1,6345,6345,20,317250,317250,0,6345,0,0,0,3541,0,success
03,2025-03,SMS,Failed,0,22,43,7,0,0,0,0,22,0,0,0,0,failed
03,2025-03,SMS,Success,1,6780,8087,20,4043500,4043500,0,6780,0,0,0,0,0,success
03,2025-03,WhatsApp,Failed,0,303,303,18,83650,0,83650,0,303,0,0,0,0,failed
03,2025-03,WhatsApp,Pending,0,2262,2262,20,473550,0,473550,0,0,2262,0,0,0,pending
03,2025-03,WhatsApp,Success,1,14299,14299,20,3462600,3462600,0,14299,0,0,0,0,0,success
